conversation_id,policy,intended_emotion,seed_emotion_detected,final_emotion,turns,trajectory_to_intended,status
calming-anger-0,calming,anger,surprise,joy,5,0.06786784559621342,success
calming-anger-1,calming,anger,anger,joy,5,0.052426029539977506,success
calming-anger-2,calming,anger,surprise,joy,5,0.015467815710941238,success
calming-disgust-0,calming,disgust,disgust,neutral,5,0.09109780866475332,success
calming-disgust-1,calming,disgust,disgust,joy,5,0.05907919102658827,success
calming-disgust-2,calming,disgust,disgust,joy,5,0.14165864428061814,success
calming-fear-0,calming,fear,fear,joy,5,0.28591770340599826,success
calming-fear-1,calming,fear,fear,joy,5,0.049782424833947084,success
calming-fear-2,calming,fear,fear,joy,5,0.2537767339741723,success
calming-joy-0,calming,joy,joy,joy,5,0.8863764093035744,success
calming-joy-1,calming,joy,surprise,joy,5,0.6170010517927863,success
calming-joy-2,calming,joy,joy,joy,5,0.9492594997088114,success
calming-neutral-0,calming,neutral,joy,joy,5,0.1373217748034568,success
calming-neutral-1,calming,neutral,neutral,joy,5,0.06027454807467403,success
calming-neutral-2,calming,neutral,neutral,joy,5,0.1491237922039415,success
calming-sadness-0,calming,sadness,fear,joy,5,0.03588665840548596,success
calming-sadness-1,calming,sadness,fear,joy,5,0.2715756164508916,success
calming-sadness-2,calming,sadness,sadness,joy,5,0.3478955943359151,success
calming-surprise-0,calming,surprise,surprise,neutral,5,0.298834299624321,success
calming-surprise-1,calming,surprise,surprise,neutral,5,0.3352638269730267,success
calming-surprise-2,calming,surprise,surprise,sadness,5,0.4156410283231664,success
