start_emotion,policy,anger,disgust,fear,joy,neutral,sadness,surprise
anger,calming,0.045 ± 0.030,0.037 ± 0.027,0.080 ± 0.139,0.430 ± 0.024,0.252 ± 0.221,0.118 ± 0.114,0.039 ± 0.024
anger,provocative,0.031 ± 0.025,0.015 ± 0.011,0.017 ± 0.029,0.568 ± 0.187,0.271 ± 0.175,0.069 ± 0.046,0.029 ± 0.017
anger,validate,0.030 ± 0.021,0.017 ± 0.011,0.003 ± 0.001,0.708 ± 0.121,0.102 ± 0.021,0.114 ± 0.126,0.027 ± 0.023
disgust,calming,0.015 ± 0.009,0.097 ± 0.047,0.006 ± 0.003,0.523 ± 0.333,0.296 ± 0.299,0.018 ± 0.020,0.045 ± 0.008
disgust,provocative,0.017 ± 0.002,0.078 ± 0.039,0.007 ± 0.003,0.530 ± 0.183,0.247 ± 0.088,0.021 ± 0.033,0.100 ± 0.148
disgust,validate,0.021 ± 0.014,0.075 ± 0.029,0.028 ± 0.031,0.471 ± 0.340,0.229 ± 0.235,0.154 ± 0.150,0.022 ± 0.006
fear,calming,0.021 ± 0.034,0.008 ± 0.002,0.196 ± 0.145,0.538 ± 0.025,0.157 ± 0.116,0.070 ± 0.045,0.010 ± 0.002
fear,provocative,0.004 ± 0.001,0.006 ± 0.001,0.069 ± 0.022,0.747 ± 0.066,0.158 ± 0.043,0.008 ± 0.002,0.008 ± 0.002
fear,validate,0.022 ± 0.031,0.012 ± 0.006,0.108 ± 0.054,0.499 ± 0.152,0.236 ± 0.147,0.114 ± 0.044,0.010 ± 0.004
joy,calming,0.004 ± 0.002,0.003 ± 0.002,0.003 ± 0.003,0.818 ± 0.200,0.036 ± 0.043,0.003 ± 0.001,0.134 ± 0.217
joy,provocative,0.004 ± 0.001,0.002 ± 0.001,0.001 ± 0.001,0.885 ± 0.058,0.026 ± 0.007,0.002 ± 0.000,0.080 ± 0.051
joy,validate,0.004 ± 0.003,0.002 ± 0.001,0.001 ± 0.000,0.921 ± 0.057,0.033 ± 0.028,0.003 ± 0.001,0.037 ± 0.027
neutral,calming,0.006 ± 0.006,0.007 ± 0.006,0.004 ± 0.001,0.840 ± 0.071,0.116 ± 0.055,0.009 ± 0.007,0.019 ± 0.008
neutral,provocative,0.006 ± 0.001,0.004 ± 0.003,0.002 ± 0.001,0.789 ± 0.038,0.158 ± 0.054,0.005 ± 0.003,0.037 ± 0.027
neutral,validate,0.007 ± 0.004,0.004 ± 0.003,0.034 ± 0.064,0.776 ± 0.155,0.146 ± 0.108,0.009 ± 0.007,0.024 ± 0.030
sadness,calming,0.003 ± 0.000,0.007 ± 0.002,0.029 ± 0.007,0.674 ± 0.156,0.059 ± 0.028,0.218 ± 0.184,0.011 ± 0.006
sadness,provocative,0.004 ± 0.004,0.004 ± 0.001,0.018 ± 0.021,0.877 ± 0.027,0.043 ± 0.029,0.049 ± 0.045,0.005 ± 0.003
sadness,validate,0.020 ± 0.032,0.012 ± 0.008,0.005 ± 0.004,0.474 ± 0.214,0.191 ± 0.069,0.290 ± 0.232,0.007 ± 0.002
surprise,calming,0.022 ± 0.011,0.018 ± 0.007,0.133 ± 0.127,0.169 ± 0.261,0.211 ± 0.130,0.097 ± 0.173,0.350 ± 0.068
surprise,provocative,0.008 ± 0.002,0.015 ± 0.012,0.009 ± 0.006,0.730 ± 0.032,0.091 ± 0.009,0.006 ± 0.004,0.140 ± 0.046
surprise,validate,0.022 ± 0.022,0.015 ± 0.008,0.006 ± 0.005,0.584 ± 0.095,0.238 ± 0.050,0.026 ± 0.022,0.109 ± 0.037
