conversation_id,policy,intended_emotion,seed_emotion_detected,final_emotion,turns,trajectory_to_intended,status
validate-anger-0,validate,anger,surprise,joy,5,0.013480442642633404,success
validate-anger-1,validate,anger,anger,joy,5,0.05056028125718946,success
validate-anger-2,validate,anger,anger,joy,5,0.02610928982141472,success
validate-disgust-0,validate,disgust,disgust,joy,5,0.1005712965381376,success
validate-disgust-1,validate,disgust,disgust,joy,5,0.05004437826573849,success
validate-disgust-2,validate,disgust,disgust,sadness,5,0.07535550073676166,success
validate-fear-0,validate,fear,fear,joy,5,0.1403997999039434,success
validate-fear-1,validate,fear,fear,joy,5,0.12957612169529534,success
validate-fear-2,validate,fear,fear,joy,5,0.053509206289336794,success
validate-joy-0,validate,joy,joy,joy,5,0.9566987412316459,success
validate-joy-1,validate,joy,joy,joy,5,0.9442538675807771,success
validate-joy-2,validate,joy,surprise,joy,5,0.8632364358220782,success
validate-neutral-0,validate,neutral,joy,joy,5,0.24065641881454555,success
validate-neutral-1,validate,neutral,neutral,joy,5,0.0501994974467726,success
validate-neutral-2,validate,neutral,neutral,joy,5,0.14627522921987943,success
validate-sadness-0,validate,sadness,sadness,joy,5,0.21506482466966625,success
validate-sadness-1,validate,sadness,sadness,sadness,5,0.5227268862404993,success
validate-sadness-2,validate,sadness,sadness,joy,5,0.1330067720375068,success
validate-surprise-0,validate,surprise,surprise,joy,5,0.0726576710031146,success
validate-surprise-1,validate,surprise,surprise,joy,5,0.1351877545516583,success
validate-surprise-2,validate,surprise,surprise,joy,5,0.11841674153471278,success
