intended_emotion,strategy,target_emotion,count,total,proportion,ci_low,ci_high
anger,Affirm,anger,15,20,0.75,0.5312949900419365,0.888139947210597
anger,Affirm,neutral,3,20,0.15,0.05236779195949582,0.36042329588695743
anger,Affirm,disgust,1,20,0.05,0.008881219432873143,0.23613589351256678
anger,Affirm,sadness,1,20,0.05,0.008881219432873143,0.23613589351256678
anger,Explore,anger,17,20,0.85,0.6395767041130426,0.9476322080405041
anger,Explore,disgust,2,20,0.1,0.027865893984153196,0.30103820641179335
anger,Explore,sadness,1,20,0.05,0.008881219432873143,0.23613589351256678
anger,Guide,anger,16,20,0.8,0.5839782779742402,0.9193436467288001
anger,Guide,neutral,2,20,0.1,0.027865893984153196,0.30103820641179335
anger,Guide,disgust,1,20,0.05,0.008881219432873143,0.23613589351256678
anger,Guide,sadness,1,20,0.05,0.008881219432873143,0.23613589351256678
anger,Normalize,anger,16,20,0.8,0.5839782779742402,0.9193436467288001
anger,Normalize,surprise,2,20,0.1,0.027865893984153196,0.30103820641179335
anger,Normalize,sadness,1,20,0.05,0.008881219432873143,0.23613589351256678
anger,Normalize,neutral,1,20,0.05,0.008881219432873143,0.23613589351256678
anger,Reframe,anger,13,20,0.65,0.43285051021946475,0.8188104521320554
anger,Reframe,disgust,6,20,0.3,0.14547527396899385,0.5189767762289793
anger,Reframe,neutral,1,20,0.05,0.008881219432873143,0.23613589351256678
anger,Validate,anger,17,20,0.85,0.6395767041130426,0.9476322080405041
anger,Validate,disgust,2,20,0.1,0.027865893984153196,0.30103820641179335
anger,Validate,neutral,1,20,0.05,0.008881219432873143,0.23613589351256678
anger,baseline,anger,8,20,0.4,0.21880396741419272,0.613422057684794
anger,baseline,sadness,5,20,0.25,0.11186005278940306,0.4687050099580635
anger,baseline,neutral,4,20,0.2,0.08065635327119998,0.4160217220257599
anger,baseline,disgust,2,20,0.1,0.027865893984153196,0.30103820641179335
anger,baseline,joy,1,20,0.05,0.008881219432873143,0.23613589351256678
disgust,Affirm,disgust,14,20,0.7,0.4810232237710205,0.8545247260310062
disgust,Affirm,anger,2,20,0.1,0.027865893984153196,0.30103820641179335
disgust,Affirm,neutral,2,20,0.1,0.027865893984153196,0.30103820641179335
disgust,Affirm,surprise,1,20,0.05,0.008881219432873143,0.23613589351256678
disgust,Affirm,fear,1,20,0.05,0.008881219432873143,0.23613589351256678
